3,278.19,444,389,1,1,317,473,339,476,1
3,269.4,542,370,1,0,274,502,345,501,2
13,253.64,542,414,0,0,283,563,334,548,3
33,274.09,594,362,1,0,253,482,349,489,4
55,250.02,551,416,0,0,284,578,337,559,5
60,322.36,509,498,1,1,370,332,373,335,6
63,335.35,552,414,0,0,404,291,428,343,7
83,252.94,558,417,0,0,277,568,334,550,8
91,262.07,616,406,0,0,246,535,332,523,9
92,267.05,537,423,1,1,276,511,324,509,10
113,261.97,621,406,1,1,244,536,332,523,11
136,250.91,602,411,0,0,263,581,338,555,12
147,270.62,554,372,1,1,269,497,345,498,13
154,264.2,437,363,1,0,319,518,349,515,14
154,270.48,461,394,0,1,308,498,336,498,15
154,256.5,438,365,1,0,322,542,352,535,16
155,283.24,509,378,1,1,293,451,346,463,17
173,278.97,541,377,1,0,277,464,344,475,18
220,270.0,550,376,1,0,271,500,343,500,19
221,269.3,605,365,1,1,248,503,348,501,20
248,270.55,508,390,1,1,288,497,337,498,21
252,255.7,507,434,1,1,295,552,324,544,22
254,322.86,291,343,0,0,426,403,413,386,23
268,252.84,665,402,1,1,235,581,340,549,24
295,276.17,486,398,0,0,298,478,335,482,25
297,247.62,559,427,0,0,284,588,335,567,26
331,252.78,646,408,1,1,243,579,337,550,27
347,250.56,566,425,0,0,277,578,333,558,28
349,267.58,405,340,0,1,331,507,358,505,29
350,270.5,479,403,0,0,300,498,332,498,30
355,296.46,249,260,1,1,407,453,403,451,31
374,267.9,604,377,0,0,248,509,343,505,32
385,309.22,484,484,1,0,343,372,343,372,33
392,277.63,482,402,0,0,301,473,334,477,34
396,281.17,602,378,1,0,254,451,345,469,35
396,271.43,615,377,0,0,244,493,343,496,36
398,266.53,529,433,1,1,280,513,320,510,37
414,243.43,440,371,0,0,336,581,361,569,38
426,268.98,355,341,1,0,352,502,358,502,39
426,270.0,479,399,0,0,300,500,333,500,40
443,259.0,287,368,1,0,382,522,349,529,41
449,295.89,320,310,1,1,380,441,383,443,42
462,241.89,601,394,0,0,279,617,355,577,43
467,261.29,484,421,1,1,300,530,326,526,44
497,242.04,559,401,1,1,294,609,352,578,45
500,277.63,534,385,0,0,279,470,341,478,46
509,260.91,522,408,1,0,285,534,332,526,47
518,268.55,310,345,1,0,371,503,356,503,48
518,257.68,338,360,1,0,362,530,353,531,49
518,263.5,617,383,0,0,244,529,341,518,50
519,264.62,588,391,1,0,256,522,337,515,51
536,327.45,486,391,0,0,391,329,412,362,52
536,326.86,585,372,1,1,366,296,415,370,53
560,244.47,647,383,1,1,256,616,356,568,54
581,244.59,573,391,0,0,284,602,352,569,55
581,243.43,479,425,1,0,321,589,341,579,56
590,267.46,421,408,0,0,324,507,330,507,57
608,272.83,609,370,0,0,246,487,346,492,58
611,270.49,473,396,0,0,303,498,335,498,59
620,251.74,507,420,1,1,299,566,333,554,60
625,244.5,459,431,0,0,327,582,338,577,61
625,245.38,619,397,0,0,265,607,349,568,62
626,264.05,540,407,1,0,276,523,331,517,63
632,319.88,471,471,1,1,373,350,373,350,64
650,265.6,511,421,0,0,287,516,325,513,65
699,246.48,555,410,1,0,288,592,343,568,66
707,243.75,608,403,1,0,273,611,349,574,67
712,263.38,483,436,1,1,300,523,319,520,68
720,321.6,509,388,0,0,368,333,399,373,69
720,249.86,542,425,0,0,288,577,333,560,70
729,279.04,425,413,0,0,325,472,330,472,71
734,271.72,526,394,1,0,281,493,336,495,72
734,270.0,686,363,1,1,214,500,348,500,73
735,244.38,496,435,0,0,313,589,336,578,74
735,248.96,536,426,0,0,291,580,334,563,75
755,342.9,607,368,0,0,425,258,454,353,76
785,257.2,566,425,0,0,270,552,327,539,77
802,249.23,449,449,0,0,325,566,325,566,78
804,267.56,549,390,1,0,271,509,337,506,79
811,261.42,501,441,0,0,293,531,318,527,80
819,261.87,591,423,1,1,256,534,325,524,81
846,280.62,535,393,1,1,281,458,339,469,82
881,249.68,401,372,0,0,343,557,354,553,83
887,266.15,463,448,1,1,307,512,313,512,84
888,268.55,620,376,0,1,242,506,343,503,85
896,251.27,457,450,1,1,319,561,322,560,86
903,264.29,565,428,1,0,265,523,322,517,87
903,264.29,565,429,1,1,265,523,322,517,88
903,263.21,592,424,1,0,255,529,324,520,89
922,264.84,400,343,1,1,334,514,357,512,90
922,261.71,511,442,1,1,289,530,317,526,91
922,263.32,486,447,0,1,299,523,315,521,92
922,266.73,672,408,1,0,220,515,330,509,93
922,266.82,566,431,1,1,264,513,320,509,94
937,266.07,431,414,1,0,321,512,328,511,95
937,263.66,564,431,0,1,266,525,321,519,96
